budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Column1,Name2,tweets analyzed,movieTermCount,total retweets,positive percentage,positive retweets,negative percentage,negative retweets,neutral tweet percentage,P_N,P_N_N,P_Nratio,PandN/Nratio
0,Sidus FNH-Benex Cinema Fund 1,South Korea,Sang-soo Im,Drama,149757,The Housemaid,NOT RATED,40569,106,6.5,Do-yeon Jeon,7482,Ki-young Kim,2010,5483,The Housemaid,18,10,0,38.88888889,0,27.77777778,0,33.33333333,1,2,1.4,2.6
7000000,Focus Features,USA,Sofia Coppola,Comedy,1768416,Somewhere,R,40564,97,6.3,Stephen Dorff,38036,Sofia Coppola,2010,5397,Somewhere,40,1,0,45,0,22.5,0,32.5,1,2,2,3.444444444
120000000,Columbia Pictures,USA,Michel Gondry,Action,98780042,The Green Hornet,PG-13,40557,100,5.8,Seth Rogen,142094,Seth Rogen,2011,5635,The Green Hornet,28,19,1,39.28571429,1,17.85714286,0,42.85714286,1,1,2.2,4.6
12000000,Company Films,USA,Malcolm Venville,Comedy,101882,Henry's Crime,R,40557,108,6,Keanu Reeves,16513,Sacha Gervasi,2010,5489,Henry's Crime,19,2,8,26.31578947,5,21.05263158,1,52.63157895,1,1,1.25,3.75
40000000,Atlas Entertainment,USA,Dominic Sena,Action,24827228,Season of the Witch,PG-13,40550,95,5.4,Nicolas Cage,80353,Bragi F. Schut,2011,5639,Season of the Witch,28,4,9,53.57142857,1,21.42857143,0,25,1,2,2.5,3.666666666
112000000,Twentieth Century Fox Film Corporation,USA,Rob Letterman,Adventure,42779261,Gulliver's Travels,PG,40537,85,4.9,Jack Black,56336,Joe Stillman,2010,5437,Gulliver's Travels,55,3,7,25.45454545,5,9.090909091,0,65.45454545,1,1,2.799999999,9.999999999
15000000,See-Saw Films,UK,Tom Hooper,Biography,138797449,The King's Speech,R,40537,118,8,Colin Firth,544927,David Seidler,2010,5296,The King's Speech,29,3,16,68.96551724,16,20.68965517,0,10.34482759,1,2,3.333333334,3.833333334
38000000,Paramount Pictures,USA,Ethan Coen,Adventure,171243005,True Grit,PG-13,40534,110,7.6,Jeff Bridges,259855,Joel Coen,2010,5303,True Grit,46,4,38,69.56521739,21,6.52173913,0,23.91304348,1,2,10.66666667,14.33333333
0,Tornasol Films,Spain,Álex de la Iglesia,Comedy,40029,The Last Circus,R,40529,107,6.6,Carlos Areces,11108,Álex de la Iglesia,2010,5469,The Last Circus,12,1,14,16.66666667,0,41.66666667,0,41.66666667,0,0,0.4,1.4
80000000,Warner Bros.,USA,Eric Brevig,Animation,100246011,Yogi Bear,PG,40529,100,4.6,Dan Aykroyd,17533,J.R. Ventimilia,2010,5456,Yogi Bear,16,1,3,31.25,3,18.75,0,50,1,1,1.666666667,4.333333333
