budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Column1,Name2,tweets analyzed,movieTermCount,total retweets,positive percentage,positive retweets,negative percentage,negative retweets,neutral tweet percentage,P_N,P_N_N,P_Nratio,PandN/Nratio
55000000,Lionsgate,USA,James Mangold,Adventure,53606916,3:10 to Yuma,R,39332,122,7.7,Russell Crowe,252471,Halsted Welles,2007,4670,3:10 to Yuma,84,11,2,47.61904762,0,8.333333333,0,44.04761905,1,2,5.714285715,11
15000000,Dimension Films,USA,Rob Zombie,Horror,58272029,Halloween,R,39325,109,6.1,Scout Taylor-Compton,93548,Rob Zombie,2007,4639,Halloween,30,1,9,36.66666667,5,13.33333333,0,50,1,1,2.750000001,6.500000002
0,New Zealand Film Commission,New Zealand,Taika Waititi,Comedy,221846,Eagle vs Shark,R,39324,93,6.8,Loren Taylor,18012,Loren Taylor,2007,4783,Eagle vs Shark,27,18,0,14.81481481,0,11.11111111,0,74.07407407,1,1,1.333333333,8
0,Rogue Pictures,USA,Robert Ben Garant,Comedy,32844290,Balls of Fury,PG-13,39323,90,5.3,Dan Fogler,37238,Thomas Lennon,2007,4738,Balls of Fury,27,12,10,29.62962963,0,59.25925926,10,11.11111111,0,0,0.5,0.6875
20000000,The Weinstein Company,USA,Shari Springer Berman,Comedy,25925170,The Nanny Diaries,PG-13,39318,106,6.2,Scarlett Johansson,51024,Emma McLaughlin,2007,4748,The Nanny Diaries,12,8,0,66.66666667,0,0,0,33.33333333,1,2,0,0
25000000,Universal Pictures,UK,Steve Bendelack,Comedy,33302167,Mr. Bean's Holiday,PG,39318,90,6.3,Rowan Atkinson,96177,Rowan Atkinson,2007,4709,Mr. Bean's Holiday,30,20,27,33.33333333,2,26.66666667,0,40,1,1,1.25,2.75
20000000,Columbia Pictures,USA,Greg Mottola,Comedy,121463226,Superbad,R,39311,113,7.6,Michael Cera,450691,Seth Rogen,2007,4633,Superbad,53,8,0,60.37735849,0,16.98113208,0,22.64150943,1,2,3.555555555,4.888888887
16500000,HanWay Films,UK,Julian Jarrold,Biography,18670946,Becoming Jane,PG,39304,120,7.1,Anne Hathaway,50326,Jane Austen,2007,4739,Becoming Jane,19,10,1,57.89473684,1,5.263157895,0,36.84210526,1,2,11,18
140000000,New Line Cinema,USA,Brett Ratner,Action,140125968,Rush Hour 3,PG-13,39304,91,6.2,Jackie Chan,130138,Jeff Nathanson,2007,4668,Rush Hour 3,34,6,4,50,0,20.58823529,0,29.41176471,1,2,2.428571429,3.857142858
70000000,Paramount Pictures,UK,Matthew Vaughn,Adventure,38634938,Stardust,PG-13,39304,127,7.7,Charlie Cox,224119,Jane Goldman,2007,4624,Stardust,28,2,28,39.28571429,2,7.142857143,0,53.57142857,1,1,5.5,13
0,Lionsgate,Canada,James Isaac,Action,1018965,Hombre lobo,R,39304,110,4.6,Jason Behr,12056,James DeMonaco,2006,4607,Hombre lobo,5,1,0,0,0,20,0,80,0,1,0,4
0,DNA Films,UK,Danny Boyle,Adventure,3675753,Sunshine,R,39290,107,7.3,Cillian Murphy,204114,Alex Garland,2007,4643,Sunshine,40,1,4,70,2,2.5,0,27.5,1,2,28,39
149000000,Aardman Animations,UK,David Bowers,Animation,64665672,Flushed Away,PG,39024,85,6.6,Hugh Jackman,92380,Dick Clement,2006,4484,Flushed Away,59,9,17,40.6779661,13,20.33898305,2,38.98305085,1,2,2,3.916666667
18000000,Four by Two,USA,Larry Charles,Comedy,128505958,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,39024,84,7.3,Sacha Baron Cohen,312878,Sacha Baron Cohen,2006,4448,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,8,6,10,0,0,62.5,10,37.5,0,0,0,0.6
10000000,Twisted Pictures,USA,Darren Lynn Bousman,Horror,80238724,Saw III,R,39017,108,6.2,Tobin Bell,152336,Leigh Whannell,2006,4431,Saw III,30,5,5,50,5,13.33333333,0,36.66666667,1,2,3.750000001,6.500000002
15000000,Fox 2000 Pictures,USA,Michael Mayer,Adventure,20998709,Flicka,PG,39010,95,6.2,Alison Lohman,6494,Mark Rosenthal,2006,4616,Flicka,7,2,0,28.57142857,0,14.28571429,0,57.14285714,1,1,1.999999999,5.999999998
90000000,DreamWorks,USA,Clint Eastwood,Drama,33602376,Flags of our Fathers,R,39010,135,7.1,Ryan Phillippe,106291,William Broyles Jr.,2006,4480,Flags of our Fathers,7,5,7,57.14285714,0,0,0,42.85714286,1,2,0,0
2000000,THINKFilm,USA,John Cameron Mitchell,Drama,1985292,Shortbus,UNRATED,39010,101,6.5,Sook-Yin Lee,28807,John Cameron Mitchell,2006,4469,Shortbus,11,3,3,36.36363636,2,9.090909091,0,54.54545455,1,1,4,10
40000000,Touchstone Pictures,USA,Christopher Nolan,Drama,53089891,The Prestige,PG-13,39010,130,8.5,Christian Bale,943597,Jonathan Nolan,2006,4401,The Prestige,34,4,3,64.70588235,2,8.823529412,1,26.47058824,1,2,7.333333333,10.33333333
0,Glen Echo Entertainment,USA,Scott Glosserman,Comedy,69136,Behind the Mask: The Rise of Leslie Vernon,R,39003,100,6.8,Nathan Baesel,18107,Scott Glosserman,2006,4599,Behind the Mask: The Rise of Leslie Vernon,9,6,16,66.66666667,16,0,0,33.33333333,1,2,0,0
20000000,Gener8Xion Entertainment,USA,Michael O. Sajbel,Biography,13395961,One Night with the King,PG,39003,123,6.3,Tiffany Dupont,6072,Stephan Blinn,2006,4594,One Night with the King,9,1,1,33.33333333,1,0,0,66.66666667,1,1,0,0
16000000,New Line Cinema,USA,Jonathan Liebesman,Horror,39517763,The Texas Chainsaw Massacre: The Beginning,R,38996,91,5.9,Jordana Brewster,59869,Sheldon Turner,2006,4432,The Texas Chainsaw Massacre: The Beginning,7,3,2,57.14285714,2,0,0,42.85714286,1,2,0,0
90000000,Warner Bros.,USA,Martin Scorsese,Crime,132384315,The Departed,R,38996,151,8.5,Leonardo DiCaprio,962185,William Monahan,2006,4402,The Departed,19,1,1,42.10526316,1,15.78947368,0,42.10526316,1,0,2.666666668,5.333333335
6800000,El Camino Pictures,USA,Arie Posin,Comedy,49526,The Chumscrubber,R,38995,108,7,Jamie Bell,16769,Arie Posin,2005,4386,The Chumscrubber,9,7,2,55.55555556,2,11.11111111,0,33.33333333,1,2,5.000000001,8.000000001
6000000,Partizan Films,France,Michel Gondry,Comedy,4663809,The Science of Sleep,R,38989,105,7.3,Gael García Bernal,63643,Michel Gondry,2006,4587,The Science of Sleep,6,3,0,50,0,16.66666667,0,33.33333333,1,2,2.999999999,4.999999999
20000000,Dimension Films,USA,Todd Phillips,Comedy,17803796,School for Scoundrels,PG-13,38989,100,5.9,Billy Bob Thornton,27180,Todd Phillips,2006,4581,School for Scoundrels,12,11,14,83.33333333,14,0,0,16.66666667,1,2,0,0
100000,Carmel Entertainment,USA,Alex Kendrick,Drama,10178331,Facing the Giants,PG,38989,111,6.7,Alex Kendrick,13291,Alex Kendrick,2006,4562,Facing the Giants,31,9,2,58.06451613,2,9.677419355,0,32.25806452,1,2,6,9.333333334
85000000,Columbia Pictures,USA,Roger Allers,Animation,85105259,Open Season,PG,38989,86,6.2,Ashton Kutcher,71052,Steve Bencich,2006,4545,Open Season,37,2,30,32.43243243,3,24.32432432,12,43.24324324,1,1,1.333333333,3.111111111
60000000,Electric Entertainment,UK,Tony Bill,Action,13082288,Flyboys,PG-13,38982,140,6.6,James Franco,37329,Phil Sears,2006,4556,Flyboys,14,1,27,35.71428571,20,14.28571429,5,50,1,1,2.499999999,5.999999998
55000000,Columbia Pictures Corporation,Germany,Steven Zaillian,Drama,7221458,All the King's Men,PG-13,38982,128,6.2,Sean Penn,21583,Steven Zaillian,2006,4523,All the King's Men,6,1,1,50,0,0,0,50,1,0,0,0
700000,Hunting Lane Films,USA,Ryan Fleck,Drama,2694973,Half Nelson,R,38982,106,7.2,Ryan Gosling,75238,Ryan Fleck,2006,4418,Half Nelson,5,4,8,80,8,0,0,20,1,2,0,0
20000000,Lakeshore Entertainment,USA,Tony Goldwyn,Comedy,11596143,The Last Kiss,R,38975,115,6.5,Zach Braff,38919,Paul Haggis,2006,4590,The Last Kiss,34,2,24,41.17647059,5,26.47058824,6,32.35294118,1,2,1.555555555,2.777777777
35000000,Arc Productions,Canada,Colin Brady,Animation,14522427,Everyone's Hero,G,38975,87,5.8,Jake T. Austin,6650,Robert Kurtz,2006,4560,Everyone's Hero,25,2,1,52,0,20,1,28,1,2,2.6,4
30000000,Columbia Pictures Industries,USA,Phil Joanou,Crime,38432823,Gridiron Gang,PG-13,38975,125,6.9,Dwayne Johnson,35771,Jeff Maguire,2006,4540,Gridiron Gang,50,33,6,70,6,14,0,16,1,2,5,6.142857143
28000000,Focus Features,USA,Allen Coulter,Biography,14415222,Hollywoodland,R,38968,126,6.5,Adrien Brody,30288,Paul Bernbaum,2006,4539,Hollywoodland,32,2,6,43.75,0,6.25,0,50,1,1,7,15
20000000,Screen Gems,USA,Renny Harlin,Action,23292105,The Covenant,PG-13,38968,97,5.3,Steven Strait,41469,J.S. Cardone,2006,4453,The Covenant,34,1,11,41.17647059,10,35.29411765,0,23.52941176,1,2,1.166666667,1.833333333
40000000,Warner Bros.,USA,Neil LaBute,Horror,23643531,The Wicker Man,PG-13,38961,102,3.7,Nicolas Cage,56253,Neil LaBute,2006,4498,The Wicker Man,57,10,8,50.87719298,7,24.56140351,0,24.56140351,1,2,2.071428571,3.071428571
16000000,Bull's Eye Entertainment,USA,Neil Burger,Drama,39868642,The Illusionist,PG-13,38961,110,7.6,Edward Norton,316052,Neil Burger,2006,4434,The Illusionist,19,2,0,68.42105263,0,5.263157895,0,26.31578947,1,2,13,18
17500000,Warner Bros.,USA,Jay Chandrasekhar,Comedy,19185184,Beerfest,R,38954,110,6.3,Jay Chandrasekhar,57005,Jay Chandrasekhar,2006,4500,Beerfest,43,10,37,44.18604651,33,9.302325581,0,46.51162791,1,1,4.75,9.750000001
900000,Andrea Sperling Productions,USA,Jamie Babbit,Crime,381186,The Quiet,R,38954,96,6.4,Camilla Belle,13952,Abdi Nazemian,2005,4324,The Quiet,26,1,1,42.30769231,1,26.92307692,0,30.76923077,1,2,1.571428572,2.714285715
0,Amour Fou Filmproduktion,Hungary,György Pálfi,Comedy,10205,Taxidermia,NOT RATED,38952,91,7,Csaba Czene,14123,Lajos Parti Nagy,2006,4589,Taxidermia,22,12,4,27.27272727,0,9.090909091,0,63.63636364,1,1,3,10
23000000,Universal Pictures,USA,Steve Pink,Comedy,36323505,Accepted,PG-13,38947,93,6.5,Justin Long,110788,Adam Cooper,2006,4457,Accepted,12,2,2,75,2,0,0,25,1,2,0,0
8000000,Fox Searchlight Pictures,USA,Jonathan Dayton,Comedy,59891098,Little Miss Sunshine,R,38947,101,7.8,Steve Carell,381001,Michael Arndt,2006,4416,Little Miss Sunshine,27,5,56,62.96296296,2,11.11111111,0,25.92592593,1,2,5.666666667,8.000000001
19300000,Recorded Picture Company (RPC),UK,Terry Gilliam,Drama,66453,Tideland,R,38940,120,6.5,Jeff Bridges,28341,Tony Grisoni,2005,4294,Tideland,8,6,2,25,0,12.5,0,62.5,1,1,2,7
63000000,Paramount Pictures,USA,Oliver Stone,Drama,70278893,World Trade Center,PG-13,38938,129,6,Nicolas Cage,70654,Andrea Berloff,2006,4475,World Trade Center,20,2,0,70,0,20,0,10,1,2,3.5,4
72500000,Columbia Pictures,USA,Adam McKay,Action,148213377,Talladega Nights: The Ballad of Ricky Bobby,PG-13,38933,108,6.6,Will Ferrell,140305,Will Ferrell,2006,4446,Talladega Nights: The Ballad of Ricky Bobby,11,8,20,72.72727273,20,9.090909091,0,18.18181818,1,2,8,10
50000000,Warner Bros.,USA,John A. Davis,Animation,28142535,The Ant Bully,PG,38926,88,5.9,Paul Giamatti,31986,John A. Davis,2006,4593,The Ant Bully,24,12,2,20.83333333,0,25,0,54.16666667,0,1,0.833333333,3
8700000,Warner Independent Pictures (WIP),USA,Richard Linklater,Animation,5501616,A Scanner Darkly,R,38926,100,7.1,Keanu Reeves,94464,Philip K. Dick,2006,4465,A Scanner Darkly,32,19,24,43.75,19,31.25,3,25,1,2,1.4,2.2
18000000,Twentieth Century Fox Film Corporation,USA,Betty Thomas,Comedy,41011711,John Tucker Must Die,PG-13,38926,89,5.8,Jesse Metcalfe,71344,Jeff Lowell,2006,4445,John Tucker Must Die,56,18,21,58.92857143,4,5.357142857,0,35.71428571,1,2,11,17.66666667
135000000,Universal Pictures,USA,Michael Mann,Action,63450470,Miami Vice,R,38926,134,6,Colin Farrell,97434,Michael Mann,2006,4443,Miami Vice,65,4,6,53.84615385,1,10.76923077,1,35.38461538,1,2,5,8.285714285
5000000,The Weinstein Company,USA,Kevin Smith,Comedy,24138847,Clerks II,R,38919,97,7.4,Brian O'Halloran,119342,Kevin Smith,2006,4528,Clerks II,11,7,0,36.36363636,0,54.54545455,0,9.090909091,0,0,0.666666667,0.833333333
70000000,Warner Bros.,USA,M. Night Shyamalan,Drama,42285169,Lady in the Water,PG-13,38919,110,5.6,Paul Giamatti,84057,M. Night Shyamalan,2006,4468,Lady in the Water,11,5,2,63.63636364,2,18.18181818,0,18.18181818,1,2,3.500000001,4.500000001
75000000,Columbia Pictures,USA,Gil Kenan,Animation,73661010,Monster House,PG,38919,91,6.6,Mitchel Musso,79512,Dan Harmon,2006,4452,Monster House,21,3,10,28.57142857,0,52.38095238,9,19.04761905,0,0,0.545454545,0.909090909
3500000,Comedy Central Films,USA,Paul Dinello,Comedy,2068323,Strangers with Candy,R,38919,97,6.1,Amy Sedaris,7228,Stephen Colbert,2005,4351,Strangers with Candy,6,4,1,33.33333333,0,33.33333333,0,33.33333333,0,0,1,2
54000000,Universal Pictures,USA,Anthony Russo,Comedy,75628110,"You, Me and Dupree",PG-13,38912,110,5.6,Kate Hudson,71458,Michael LeSieur,2006,4555,"You, Me and Dupree",10,6,1,50,0,0,0,50,1,0,0,0
64000000,Revolution Studios,USA,Keenen Ivory Wayans,Comedy,58645052,Littleman,PG-13,38912,100,4.3,Shawn Wayans,42365,Keenen Ivory Wayans,2006,4529,Littleman,31,1,37,45.16129032,33,9.677419355,0,45.16129032,1,0,4.666666666,9.333333333
225000000,Walt Disney Pictures,USA,Gore Verbinski,Action,423315812,Pirates of the Caribbean: Dead Man's Chest,PG-13,38905,151,7.3,Johnny Depp,567704,Ted Elliott,2006,4405,Pirates of the Caribbean: Dead Man's Chest,17,5,0,35.29411765,0,5.882352941,0,58.82352941,1,1,6.000000001,16
35000000,Fox 2000 Pictures,USA,David Frankel,Comedy,124740460,The Devil Wears Prada,PG-13,38898,109,6.8,Anne Hathaway,308388,Aline Brosh McKenna,2006,4410,The Devil Wears Prada,49,6,12,46.93877551,9,8.163265306,0,44.89795918,1,2,5.75,11.25
209000000,Warner Bros.,USA,Bryan Singer,Action,200081192,Superman Returns,PG-13,38896,154,6.1,Brandon Routh,249656,Michael Dougherty,2006,4444,Superman Returns,67,34,7,8.955223881,1,65.67164179,6,25.37313433,0,0,0.136363636,0.522727273
10000000,DEJ Productions,USA,Victor Salva,Drama,3960414,Peaceful Warrior,PG-13,38891,100,7.3,Scott Mechlowicz,22445,Kevin Bernhardt,2006,4516,Peaceful Warrior,28,6,0,67.85714286,0,7.142857143,0,25,1,2,9.5,13
60000000,Twentieth Century Fox Film Corporation,UK,Tim Hill,Animation,28426747,Garfield 2,PG,38884,82,5,Breckin Meyer,30758,Joel Cohen,2006,4588,Garfield 2,22,4,0,81.81818182,0,18.18181818,0,0,1,2,4.500000001,4.500000001
32000000,Paramount Pictures,Germany,Jared Hess,Comedy,80197993,Nacho Libre,PG,38884,92,5.7,Jack Black,69721,Jared Hess,2006,4491,Nacho Libre,43,3,22,48.8372093,3,11.62790698,0,39.53488372,1,2,4.199999999,7.599999998
85000000,Universal Pictures,USA,Justin Lin,Action,62514415,The Fast and the Furious: Tokyo Drift,PG-13,38884,104,6,Lucas Black,199003,Chris Morgan,2006,4422,The Fast and the Furious: Tokyo Drift,61,29,10,57.37704918,7,19.67213115,2,22.95081967,1,2,2.916666666,4.083333333
0,Aura Films,Argentina,Fabián Bielinsky,Crime,56103,The Aura,UNRATED,38884,134,7.3,Ricardo Darín,11477,Fabián Bielinsky,2005,4381,The Aura,22,1,7,54.54545455,1,9.090909091,0,36.36363636,1,2,6,10
25000000,Twentieth Century Fox Film Corporation,USA,John Moore,Horror,54607383,The Omen,R,38874,110,5.5,Liev Schreiber,50944,David Seltzer,2006,4502,The Omen,43,4,9,32.55813953,3,13.95348837,0,53.48837209,1,1,2.333333333,6.166666667
52000000,Universal Pictures,USA,Peyton Reed,Comedy,118703275,The Break-Up,PG-13,38870,106,5.8,Jennifer Aniston,108341,Jeremy Garelick,2006,4439,The Break-Up,18,1,0,50,0,16.66666667,0,33.33333333,1,2,2.999999999,4.999999999
0,EuropaCorp,France,Pierre Morel,Action,1197786,District B13,R,38870,84,7.2,Cyril Raffaelli,58967,Luc Besson,2004,4068,District B13,5,2,0,20,0,40,0,40,0,0,0.5,1.5
22000000,Nord-Ouest Productions,France,Christian Carion,Drama,1054361,Joyeux Noel,PG-13,38863,116,7.8,Diane Kruger,23393,Christian Carion,2005,4356,Joyeux Noel,5,1,0,60,0,0,0,40,1,2,0,0
0,Miramax,USA,Julian Jarrold,Comedy,1819454,Kinky Boots,PG-13,38863,107,7.1,Chiwetel Ejiofor,15158,Geoff Deane,2005,4285,Kinky Boots,8,2,1,50,0,0,0,50,1,0,0,0
7900000,BBC Films,UK,Ol Parker,Comedy,671240,Imagine Me & You,R,38862,90,6.8,Piper Perabo,25074,Ol Parker,2005,4262,Imagine Me & You,31,1,4,51.61290323,3,9.677419355,1,38.70967742,1,2,5.333333334,9.333333334
125000000,Columbia Pictures,USA,Ron Howard,Mystery,217536138,The Da Vinci Code,PG-13,38856,149,6.6,Tom Hanks,345008,Akiva Goldsman,2006,4423,The Da Vinci Code,56,10,2,28.57142857,0,16.07142857,0,55.35714286,1,1,1.777777778,5.222222223
28000000,New Regency Pictures,USA,Donald Petrie,Comedy,17324744,Just My Luck,PG-13,38849,100,5.4,Lindsay Lohan,47270,I. Marlene King,2006,4504,Just My Luck,34,3,1,44.11764706,1,14.70588235,0,41.17647059,1,2,3.000000001,5.800000001
10000000,Milkshake Films,USA,Danny Cannon,Drama,4280577,Goal! The Dream Begins,PG-13,38849,118,6.7,Kuno Becker,53872,Mike Jefferies,2005,4335,Goal! The Dream Begins,7,4,0,42.85714286,0,28.57142857,0,28.57142857,1,2,1.5,2.5
150000000,Paramount Pictures,USA,J.J. Abrams,Action,134029801,Mission: Impossible III,PG-13,38842,126,6.9,Tom Cruise,275630,Alex Kurtzman,2006,4447,Mission: Impossible III,11,6,0,36.36363636,0,18.18181818,0,45.45454545,1,1,2,4.5
0,Out of the Blue... Entertainment,USA,Doug Atchison,Drama,18811135,Akeelah and the Bee,PG,38835,100,7.5,Angela Bassett,16244,Doug Atchison,2006,4595,Akeelah and the Bee,29,19,5,41.37931034,2,0,0,58.62068966,1,1,0,0
15000000,Universal Pictures,USA,Paul Greengrass,Drama,31567134,United 93,R,38835,111,7.6,David Alan Basche,87699,Paul Greengrass,2006,4486,United 93,6,1,0,16.66666667,0,16.66666667,0,66.66666667,0,1,1,4.999999999
65000000,Columbia Pictures,UK,Barry Sonnenfeld,Adventure,71726025,RV,PG,38835,99,5.5,Robin Williams,49145,Geoff Rodkey,2006,4461,RV,38,1,6,42.10526316,0,2.631578947,1,55.26315789,1,1,16,37
950000,Lions Gate Films,USA,David Slade,Crime,1007962,Hard Candy,R,38835,104,7.1,Patrick Wilson,138885,Brian Nelson,2005,4228,Hard Candy,31,1,1,48.38709677,1,16.12903226,0,35.48387097,1,2,2.999999999,5.199999999
45000000,Dimension Films,USA,David Zucker,Comedy,90710620,Scary Movie 4,PG-13,38821,83,5.1,Anna Faris,99473,Craig Mazin,2006,4506,Scary Movie 4,65,57,17,26.15384615,0,16.92307692,3,56.92307692,1,1,1.545454546,4.90909091
6500000,Room 9 Entertainment,USA,Jason Reitman,Comedy,24792061,Thank You for Smoking,R,38821,92,7.6,Aaron Eckhart,198616,Jason Reitman,2005,4271,Thank You for Smoking,25,9,0,44,0,12,0,44,1,0,3.666666667,7.333333333
33000000,Revolution Studios,USA,Dennis Dugan,Action,57651794,The Benchwarmers,PG-13,38814,80,5.6,David Spade,42905,Allen Covert,2006,4505,The Benchwarmers,27,10,12,62.96296296,0,7.407407407,0,29.62962963,1,2,8.5,12.5
27000000,The Weinstein Company,Germany,Paul McGuigan,Crime,22494487,Lucky Number Slevin,R,38814,110,7.8,Josh Hartnett,275930,Jason Smilovic,2006,4450,Lucky Number Slevin,33,19,9,57.57575758,1,18.18181818,2,24.24242424,1,2,3.166666667,4.500000001
1000000,Kim Ki-Duk Film,South Korea,Ki-duk Kim,Crime,238507,3-Iron,R,38814,88,8.1,Seung-yeon Lee,41640,Ki-duk Kim,2004,4170,3-Iron,60,5,5,40,3,15,0,45,1,1,2.666666667,5.666666667
0,Sweet Tea Pictures LLC,USA,Chris Robinson,Comedy,21160089,ATL,PG-13,38807,105,6,T.I.,8872,Tina Gordon Chism,2006,4527,ATL,26,1,3,42.30769231,1,7.692307692,2,50,1,1,5.500000001,12
80000000,Twentieth Century Fox Animation,USA,Carlos Saldanha,Animation,195330621,Ice Age: The Meltdown,PG,38807,91,6.9,Ray Romano,211943,Peter Gaulke,2006,4526,Ice Age: The Meltdown,18,15,6,27.77777778,0,22.22222222,0,50,1,1,1.25,3.5
70000000,Metro-Goldwyn-Mayer (MGM),UK,Michael Caton-Jones,Drama,5971336,Basic Instinct 2,R,38807,114,4.2,Sharon Stone,32861,Leora Barish,2006,4459,Basic Instinct 2,12,10,1,41.66666667,1,33.33333333,0,25,1,2,1.25,2
3000000,The UK Film & TV Production Company PLC,UK,Gavin Hood,Crime,2912363,Tsotsi,R,38807,94,7.3,Presley Chweneyagae,25853,Gavin Hood,2005,4384,Tsotsi,23,4,19,26.08695652,4,17.39130435,12,56.52173913,1,1,1.5,4.749999999
9000000,Hollywood Pictures,USA,William Brent Bell,Horror,23086480,Stay Alive,PG-13,38800,85,5.1,Jon Foster,26907,William Brent Bell,2006,4542,Stay Alive,56,1,10,67.85714286,8,14.28571429,1,17.85714286,1,2,4.749999999,5.999999999
45000000,Universal Pictures,USA,Spike Lee,Crime,88513495,Inside Man,R,38800,129,7.6,Denzel Washington,290361,Russell Gewirtz,2006,4429,Inside Man,36,1,5,58.33333333,3,22.22222222,1,19.44444444,1,2,2.625,3.5
25000000,OLC / Rights Entertainment,New Zealand,Roger Donaldson,Biography,5128124,The World's Fastest Indian,PG-13,38800,127,7.8,Anthony Hopkins,46465,Roger Donaldson,2005,4298,The World's Fastest Indian,10,8,1,80,1,0,0,20,1,2,0,0
20000000,DreamWorks,USA,Andy Fickman,Comedy,2339735,She's the Man,PG-13,38793,105,6.4,Amanda Bynes,125579,Ewan Leslie,2006,4421,She's the Man,13,1,0,15.38461538,0,38.46153846,0,46.15384615,0,1,0.4,1.6
54000000,Warner Bros.,USA,James McTeigue,Action,70511035,V for Vendetta,R,38793,132,8.2,Hugo Weaving,867117,Lilly Wachowski,2005,4186,V for Vendetta,52,9,4,42.30769231,1,3.846153846,1,53.84615385,1,1,11,25
50000000,Paramount Pictures,USA,Tom Dey,Comedy,88715192,Failure to Launch,PG-13,38786,97,5.6,Matthew McConaughey,62338,Tom J. Astle,2006,4507,Failure to Launch,15,6,0,73.33333333,0,26.66666667,0,0,1,2,2.75,2.75
15000000,Craven-Maddalena Films,USA,Alexandre Aja,Horror,41778863,The Hills Have Eyes,R,38786,107,6.4,Ted Levine,139041,Wes Craven,2006,4419,The Hills Have Eyes,37,7,11,35.13513514,1,40.54054054,9,24.32432432,0,0,0.866666667,1.466666667
0,The Weinstein Company,UK,Laurence Dunmore,Drama,4835065,The Libertine,R,38786,114,6.4,Johnny Depp,32405,Stephen Jeffreys,2004,4090,The Libertine,5,3,2,80,2,0,0,20,1,2,0,0
0,Movision,Canada,Sturla Gunnarsson,Action,66851,Beowulf & Grendel,R,38785,103,5.9,Hringur Ingvarsson,16275,Anonymous,2005,4332,Beowulf & Grendel,9,3,0,44.44444444,0,0,0,55.55555556,1,1,0,0
52000000,Alcon Entertainment,USA,Richard Donner,Action,36883539,16 Blocks,PG-13,38779,102,6.6,Bruce Willis,116840,Richard Wenk,2006,4552,16 Blocks,48,1,10,29.16666667,9,10.41666667,0,60.41666667,1,1,2.799999999,8.599999998
12000000,Fox 2000 Pictures,USA,Elizabeth Allen Rosenbaum,Comedy,18595716,Aquamarine,PG,38779,100,5.3,Emma Roberts,33023,John Quaintance,2006,4496,Aquamarine,39,2,4,46.15384615,4,0,0,53.84615385,1,1,0,0
4000000,Destination Films,UK,Dave McKean,Adventure,864959,Mirrormask,PG,38779,101,6.9,Stephanie Leonidas,20947,Neil Gaiman,2005,4366,Mirrormask,11,3,0,81.81818182,0,0,0,18.18181818,1,2,0,0
1000000,Belladonna Productions,USA,Duncan Tucker,Adventure,9015303,Transamerica,R,38779,103,7.4,Felicity Huffman,37575,Duncan Tucker,2005,4341,Transamerica,13,2,3,23.07692308,2,0,0,76.92307692,1,1,0,0
4200000,Bazelevs Production,Russia,Timur Bekmambetov,Action,1487477,Night Watch,R,38779,114,6.5,Konstantin Khabenskiy,48808,Timur Bekmambetov,2004,4118,Night Watch,13,1,17,69.23076923,17,7.692307692,0,23.07692308,1,2,9,12
6000000,Lions Gate Films,USA,Tyler Perry,Comedy,63257940,Madea's Family Reunion,PG-13,38772,107,5.1,Tyler Perry,9376,Tyler Perry,2006,4572,Madea's Family Reunion,49,7,10,30.6122449,4,24.48979592,2,44.89795918,1,1,1.25,3.083333333
20000000,New Regency Pictures,USA,Aaron Seltzer,Comedy,48548426,Date Movie,PG-13,38765,83,2.7,Alyson Hannigan,52303,Jason Friedberg,2006,4524,Date Movie,27,23,3,25.92592593,0,18.51851852,0,55.55555556,1,1,1.4,4.4
50000000,Imagine Entertainment,USA,Matthew O'Callaghan,Animation,58640119,Curious George,G,38758,87,6.6,Will Ferrell,13503,Ken Kaufman,2006,4564,Curious George,22,3,5,50,4,9.090909091,1,40.90909091,1,2,5.5,10
65000000,Metro-Goldwyn-Mayer (MGM),USA,Shawn Levy,Adventure,82226474,The Pink Panther,PG,38758,93,5.6,Steve Martin,70105,Len Blum,2006,4515,The Pink Panther,42,3,10,42.85714286,5,14.28571429,1,42.85714286,1,0,2.999999999,5.999999999
0,Les Films de la Strada,France,Géla Babluani,Crime,121390,13 Tzameti,NOT RATED,38756,93,7.4,George Babluani,15418,Géla Babluani,2005,4390,13 Tzameti,12,1,1,8.333333333,0,0,0,91.66666667,1,1,0,0
0,Gramercy Pictures (I),USA,Sanaa Hamri,Comedy,11425894,Something New,PG-13,38751,99,6.8,Sanaa Lathan,11116,Kriss Turner,2006,4583,Something New,23,1,19,39.13043478,0,13.04347826,0,47.82608696,1,1,3,6.666666667
15000000,Screen Gems,USA,Simon West,Horror,47860214,When a Stranger Calls,PG-13,38751,87,5.1,Camilla Belle,37253,Jake Wade Wall,2006,4514,When a Stranger Calls,30,10,5,30,4,23.33333333,1,46.66666667,1,1,1.285714286,3.285714286
7000000,Sony Pictures Classics,USA,Bennett Miller,Biography,28747570,Capote,R,38751,114,7.4,Philip Seymour Hoffman,108050,Dan Futterman,2005,4267,Capote,30,1,3,30,1,13.33333333,0,56.66666667,1,1,2.250000001,6.500000002
26000000,Touchstone Pictures,USA,Justin Lin,Drama,17127992,Annapolis,PG-13,38744,108,5.8,James Franco,18618,David Collard,2006,4604,Annapolis,40,4,15,55,4,5,0,40,1,2,11,19
