Budget,Genre,Gross,Name,Negative Percentage,Negative Retweets,Neutral Tweets,Positive Percentage,Positive Retweets,Runtime,Score,Tweets Analyzed,Votes,Year,SentClass2,SentClass3,SentRatio
0,Comedy,2014922,The Trip,32.92682927,1777,31.70731707,35.36585366,19591,112,7,82,18884,2010,1,2,1.074074074
65000,Comedy,389804,Tiny Furniture,13.51351351,12185,47.2972973,39.18918919,49,98,6.2,74,12702,2010,0,1,2.900000001
5000000,Comedy,1098,Flypaper,15.95744681,89669,52.12765957,31.91489362,398656,87,6.4,94,28775,2011,0,1,2
0,Comedy,1670773,English Vinglish,4.054054054,2,70.27027027,25.67567568,48,134,7.9,74,25931,2012,0,1,6.333333334
7980000,Comedy,1027121,Cocktail,22.22222222,4138,43.33333333,34.44444444,444,146,6.2,90,10931,2012,0,1,1.55
0,Comedy,21660,The ABCs of Death,38.88888889,3,44.44444444,16.66666667,10,129,4.7,18,15544,2012,0,1,0.428571429
0,Comedy,22930,Struck by Lightning,21.95121951,74,41.46341463,36.58536585,2,90,6.3,41,13513,2012,0,1,1.666666667
0,Comedy,18238,The Little Death,25,0,25,50,2307,96,7.1,12,21390,2014,1,2,2
5000000,Comedy,72273,Better Living Through Chemistry,4.47761194,0,8.955223881,86.56716418,19,91,6.3,67,12284,2014,1,2,19.33333333
0,Comedy,48949,Spring,6.315789474,247,52.63157895,41.05263158,16392,109,6.7,95,17373,2014,0,1,6.5
0,Comedy,89182,El nuevo nuevo testamento,0,0,96.77419355,3.225806452,0,114,7.1,62,20984,2015,0,1,0
0,Comedy,98818,The Lure,18.05555556,20,34.72222222,47.22222222,502,92,6.3,72,2000,2015,1,2,2.615384615
0,Crime,121390,13 Tzameti,0,0,73.33333333,26.66666667,0,93,7.4,15,15418,2005,0,1,0
3700000,Crime,144397,Unknown,37.64705882,6166,36.47058824,25.88235294,8242,85,6.5,85,27012,2006,0,0,0.6875
3700000,Crime,144397,Unknown,51.89873418,7627,16.4556962,31.64556962,5662,85,6.5,79,27012,2006,0,0,0.609756098
0,Crime,1577639,Gomorrah,4.761904762,0,54.76190476,40.47619048,2,137,7,42,40616,2008,0,1,8.500000001
0,Crime,13023,The Escapist,7.407407407,1,37.03703704,55.55555556,10150,102,6.8,81,15204,2008,1,2,7.500000001
0,Crime,26297,Kill List,15.625,846,37.5,46.875,179,95,6.4,32,29136,2011,1,2,3
7395080,Crime,2706375,Talaash,9.210526316,9,71.05263158,19.73684211,22,140,7.3,76,32323,2012,0,1,2.142857143
0,Crime,34100,Starred Up,19.23076923,14,28.84615385,51.92307692,198,106,7.4,52,35739,2013,1,2,2.7
9400000,Crime,739478,Drishyam,6.060606061,0,74.24242424,19.6969697,381,163,8.4,66,42547,2015,0,1,3.25
0,Crime,2005473,The Handmaiden,4.545454545,0,65.90909091,29.54545455,8,144,8.1,44,43552,2016,0,1,6.500000002
0,Crime,28505,King Cobra,9.836065574,1133,77.04918033,13.1147541,355,91,5.6,61,4894,2016,0,1,1.333333333
0,Drama,77848,Stalingrad,45.28301887,7,32.0754717,22.64150943,133,134,7.5,53,25655,1993,0,0,0.5
0,Drama,22490,The Exterminating Angels,0,0,66.66666667,33.33333333,0,100,5.5,3,2583,2006,0,1,0
0,Drama,1829142,The Wind That Shakes the Barley,5.063291139,0,64.55696203,30.37974684,8,127,7.5,79,39412,2006,0,1,6.000000001
1000000,Drama,1100000,Loving Annabelle,1.785714286,0,8.928571429,89.28571429,40,76,6.6,56,10025,2006,1,2,49.99999999
4600000,Drama,434417,Savage Grace,14.44444444,10319,52.22222222,33.33333333,37618,97,5.9,90,9518,2007,0,1,2.307692308
0,Drama,1185783,"4 Months, 3 Weeks and 2 Days",22.36842105,26,53.94736842,23.68421053,2,113,7.9,76,48360,2007,0,1,1.05882353
0,Drama,145109,Flame & Citron,0,0,100,0,0,130,7.3,3,15298,2008,0,1,0
0,Drama,19853,Garden Party,22.61904762,54,34.52380952,42.85714286,17,88,5.6,84,3113,2008,1,2,1.894736842
11000000,Drama,397070,Anticristo,5.194805195,2,90.90909091,3.896103896,0,108,6.6,77,96352,2009,0,1,0.75
0,Drama,336467,Enter the Void,16.85393258,27,67.41573034,15.73033708,8,161,7.3,89,51942,2009,0,1,0.933333334
0,Drama,373060,Fish Tank,25,6913,44.44444444,30.55555556,569,123,7.3,36,51481,2009,0,1,1.222222222
0,Drama,62985,Heartbeats,14.0625,360,43.75,42.1875,154,101,7.2,64,21449,2010,0,1,3
0,Drama,1337384,Certified Copy,13.97849462,5,53.76344086,32.25806452,107,106,7.3,93,16271,2010,0,1,2.307692309
0,Drama,13068,Norwegian Wood,11.9047619,7,66.66666667,21.42857143,3904,133,6.4,84,9497,2010,0,1,1.800000001
0,Drama,149757,The Housemaid,15.51724138,22,39.65517241,44.82758621,2556,106,6.5,58,7482,2010,1,2,2.888888889
0,Drama,37710,Sleeping Beauty,40,1026,60,0,0,101,5.3,5,27413,2011,0,1,0
0,Drama,27578,North Sea Texas,10.52631579,0,42.10526316,47.36842105,290,94,7.2,19,6494,2011,1,2,4.5
0,Drama,19327,House of Tolerance,29.03225806,219,43.5483871,27.41935484,40,122,6.8,62,4868,2011,0,1,0.944444445
0,Drama,5981,Alps: Los suplantadores,0,0,0,0,0,100,6.4,0,5996,2011,0,0,0
10920000,Drama,985912,Rockstar,12.85714286,41828,57.14285714,30,7755,159,7.6,70,29940,2011,0,1,2.333333333
0,Drama,96889,Wuthering Heights,11.9047619,22,60.71428571,27.38095238,8737,129,6.1,84,7758,2011,0,1,2.300000001
0,Drama,455459,Weekend,17.77777778,22736,34.44444444,47.77777778,9306,97,7.7,90,22381,2011,1,2,2.6875
0,Drama,71177,Detachment,22.3880597,5852,46.26865672,31.34328358,72,98,7.7,67,63058,2011,0,1,1.4
0,Drama,968879,Lore,6.666666667,23,80,13.33333333,6219,109,7.1,90,12257,2012,0,1,1.999999999
0,Drama,1035953,Kahaani,5,8,78.75,16.25,3,122,8.2,80,45452,2012,0,1,3.25
0,Drama,87910,Starlet,10.76923077,115,61.53846154,27.69230769,464,103,6.8,65,5294,2012,0,1,2.571428571
0,Drama,48022,Young & Beautiful,1.851851852,0,1.851851852,96.2962963,1097,95,6.8,54,25415,2013,1,2,52
0,Drama,342183,La piel de Venus,0,0,100,0,0,96,7.2,11,13764,2013,0,1,0
0,Drama,2852400,The Great Beauty,0,0,12.5,87.5,1445,141,7.8,16,63499,2013,1,2,0
0,Drama,4105,Contracted,32.14285714,1162,42.85714286,25,2902,84,5.3,56,11798,2013,0,1,0.777777778
50000,Drama,444098,Upstream Color,14,2,67,19,1,96,6.7,100,25775,2013,0,1,1.357142857
2000000,Drama,924279,The Babadook,10.34482759,0,55.17241379,34.48275862,3046,93,6.8,58,141407,2014,0,1,3.333333332
0,Drama,41866,Closet Monster,23.75,18,51.25,25,1623,90,7,80,4860,2015,0,1,1.052631579
0,Drama,35034,Summertime,7.52688172,11,64.51612903,27.95698925,10084,105,6.6,93,2301,2015,0,1,3.714285715
0,Drama,143656,Manifesto,4.166666667,3,79.16666667,16.66666667,2,95,7.2,24,1314,2015,0,1,4
0,Drama,5249,The Girl in the Book,23.33333333,15100,13.33333333,63.33333333,2312,86,6.2,30,3075,2015,1,2,2.714285715
0,Drama,231703,The Invitation,6.52173913,11,45.65217391,47.82608696,16522,100,6.7,46,46822,2015,1,2,7.333333334
6000000,Drama,83861,Beasts of No Nation,11.62790698,31,68.60465116,19.76744186,0,137,7.8,86,52905,2015,0,1,1.699999999
0,Drama,785405,The Wailing,20.33898305,162,57.62711864,22.03389831,59,156,7.5,59,21562,2016,0,1,1.083333334
1500000,Fantasy,3478,Pontypool,21.33333333,464,41.33333333,37.33333333,32,93,6.7,75,24539,2008,0,1,1.75
0,Horror,122890,The Human Centipede II (Full Sequence),0,0,0,100,0,91,3.9,1,29249,2011,1,2,0
6000000,Horror,20551,Maniac,20.58823529,42,47.05882353,32.35294118,41,89,6.1,68,29681,2012,0,1,1.571428572
0,Horror,8139,Dracula 3D,0,0,61.9047619,38.0952381,6,110,3.6,21,3321,2012,0,1,0
0,Horror,8967,The Hallow,15.90909091,232672,45.45454545,38.63636364,61511,97,5.7,88,11545,2015,0,1,2.428571429
0,Horror,150372,The Void,20,2683,43.75,36.25,3948,90,5.8,80,15932,2016,0,1,1.8125
0,Horror,8834,Dead Awake,53.84615385,4078,6.41025641,39.74358974,56,99,4.6,78,1645,2016,0,0,0.738095238
50000,Mystery,68877,Coherence,5.333333333,2,68,26.66666667,54,89,7.2,75,71677,2013,0,1,5.000000001
0,Action,2411071,Ghajini,3.896103896,3,81.81818182,14.28571429,1230,100,7.3,77,44436,2008,0,1,3.666666668
18026148,Action,6738000,Baahubali: The Beginning,3.03030303,0,72.72727273,24.24242424,55,159,8.2,33,81329,2015,0,1,8
0,Adventure,3076226,Zindagi Na Milegi Dobara,9.459459459,37,75.67567568,14.86486486,161,155,8.1,74,50511,2011,0,1,1.571428571
0,Comedy,1017335,Guzaarish,7.692307692,20,71.79487179,20.51282051,72,126,7.5,78,13312,2010,0,1,2.666666666
0,Comedy,304357,The Angels' Share,10.60606061,35,34.84848485,54.54545455,318,101,7,66,19767,2012,1,2,5.142857141
0,Comedy,10616104,PK,2.083333333,0,88.54166667,9.375,719,153,8.2,96,111073,2014,0,1,4.500000001
0,Comedy,45650,Girl Asleep,33.33333333,21,33.33333333,33.33333333,16022,77,6.2,45,1693,2015,0,0,1
0,Comedy,19025,Carrie Pilby,0,0,100,0,0,98,6.6,8,2617,2016,0,1,0
0,Drama,106662,About Elly,11.2244898,3042,47.95918367,40.81632653,32910,119,8.1,98,31740,2009,0,1,3.636363635
0,Drama,1808,Now & Later,16.47058824,144,36.47058824,47.05882353,1359,99,5.2,85,1040,2009,1,2,2.857142856
0,Drama,26376,The Daughter,19.67213115,23043,32.78688525,47.54098361,260667,96,6.7,61,3194,2015,1,2,2.416666667
30000000,Action,53898845,The Three Musketeers,10.22727273,539,62.5,27.27272727,19,105,6.4,88,43792,1993,0,1,2.666666666
40000000,Action,652526,Alex Rider: Operation Stormbreaker,0,0,0,0,0,93,5.1,0,21238,2006,0,0,0
35000000,Action,11631245,Zoom,3.191489362,0,69.14893617,27.65957447,1381,100,4.3,94,16115,2006,0,1,8.666666666
100000000,Action,75030163,Eragon,11.70212766,2183,68.08510638,20.21276596,11822,104,5.1,94,112350,2006,0,1,1.727272727
0,Action,43751706,Underdog,17.72151899,2119,43.03797468,39.24050633,1691,100,4.8,79,16782,2007,0,1,2.214285714
130000000,Action,131921738,Fantastic 4: Rise of the Silver Surfer,12.5,0,0,87.5,1,92,5.6,8,223740,2007,1,2,7
130000000,Action,219964115,National Treasure: Book of Secrets,8.333333333,0,51.66666667,40,6,124,6.5,60,193052,2007,0,1,4.8
45000000,Action,101704370,Journey to the Center of the Earth,63,29,8,29,796,93,5.8,100,93923,2008,0,0,0.46031746
120000000,Action,43945766,Speed Racer,9.523809524,106748,67.85714286,22.61904762,89,135,6,84,61086,2008,0,1,2.375
225000000,Action,141621490,The Chronicles of Narnia: Prince Caspian,1.612903226,0,75.80645161,22.58064516,2106,150,6.6,62,162829,2008,0,1,14
30000000,Action,9353573,Dragonball: Evolution,25,2,60.71428571,14.28571429,4,85,2.6,28,60877,2009,0,1,0.571428572
26000000,Action,20819129,Paul Blart: Mall Cop,15.625,10,62.5,21.875,1,91,5.2,64,89303,2009,0,1,1.4
65000000,Action,67172594,Race to Witch Mountain,3.448275862,2,74.13793103,22.4137931,3,98,5.7,58,46750,2009,0,1,6.499999999
150000000,Action,131564731,The Last Airbender,11.94029851,2,56.71641791,31.34328358,667,103,4.2,67,127467,2010,0,1,2.624999999
85000000,Action,43585753,Cats & Dogs: The Revenge of Kitty Galore,8.333333333,0,66.66666667,25,2,100,4.3,12,11161,2010,0,1,3
28000000,Action,24268828,The Spy Next Door,22.22222222,16,33.33333333,44.44444444,0,94,5.4,18,33070,2010,1,2,2
150000000,Action,63150991,The Sorcerer's Apprentice,7.246376812,270,57.97101449,34.7826087,16,109,6.1,69,133390,2010,0,1,4.8
40000000,Action,176591618,The Karate Kid,20.77922078,24,51.94805195,27.27272727,3,140,6.2,77,131784,2010,0,1,1.3125
170000000,Action,172062763,TRON: Legacy,8.333333333,0,58.33333333,33.33333333,0,100,6.8,36,278124,2010,0,1,4
27000000,Action,38538188,Spy Kids 4: All the Time in the World,0,0,0,100,0,100,3.6,1,17340,2011,1,2,0
45000000,Action,8305970,Johnny English Reborn,10.52631579,0,78.94736842,10.52631579,0,101,6.3,19,95736,2011,0,1,1
79000000,Action,103860290,Journey 2: The Mysterious Island,15.38461538,178,50,34.61538462,4,94,5.8,26,73718,2012,0,1,2.250000001
42000000,Action,45290318,Here Comes the Boom,14.28571429,87,48.80952381,36.9047619,139,105,6.4,84,77895,2012,0,1,2.583333332
